順位,チーム,試合,勝,分,負,点,直近5試合
1,Arsenal FC,34,22,7,5,73,D W L D L
2,Manchester City FC,33,21,7,5,70,W W W L D
3,Manchester United FC,34,17,10,7,61,W W L D W
4,Liverpool FC,34,17,7,10,58,W W L W L
5,Aston Villa FC,34,17,7,10,58,L W D W L
6,Brighton & Hove Albion FC,34,13,11,10,50,W D W W W
7,AFC Bournemouth,34,11,16,7,49,D W W D D
8,Chelsea FC,34,13,9,12,48,L L L L L
9,Brentford FC,34,13,9,12,48,L D D D D
10,Fulham FC,34,14,6,14,48,W D L W D
11,Everton FC,34,13,8,13,47,L L D W L
12,Sunderland AFC,34,12,10,12,46,L L W W L
13,Crystal Palace FC,33,11,10,12,43,L D W D W
14,Newcastle United FC,34,12,6,16,42,L L L L L
15,Leeds United FC,34,9,13,12,40,D W W D D
16,Nottingham Forest FC,34,10,9,15,39,W W D W D
17,West Ham United FC,34,9,9,16,36,W D W L D
18,Tottenham Hotspur FC,34,8,10,16,34,W D L L W
19,Burnley FC,34,4,8,22,20,L L L L D
20,Wolverhampton Wanderers FC,34,3,8,23,17,L L L D W
